category,classname,displayName,description,version,sourcePage,sourceUrl,sourceAffiliations,usedBy,classificationBasis
backpack,vn_b_pack_m5_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_p08_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_p08_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_p08_03,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_p44_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_p44_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_p44_03,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_pfield_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_pfield_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_prc77_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_seal_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_t10_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_01,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_01_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_02_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_03,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_03_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_04,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_b_pack_trp_04_02,,,,Live Arma Bag_Base debug-console dump,,WEST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_01,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_02,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_03,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_04,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_05,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_06,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_07,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_08,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
backpack,vn_o_pack_t884_01,,,,Live Arma Bag_Base debug-console dump,,EAST,,Public Bag_Base class from supplied live Arma debug-console dump.
headgear,vn_b_bandana_01,Bandana (Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;EAST;INDEPENDENT,vn_b_men_army_09;vn_b_men_army_10;vn_b_men_army_12;vn_b_men_army_16;vn_b_men_army_17;vn_b_men_army_18;vn_b_men_army_20;vn_b_men_cidg_16;vn_b_men_cidg_17;vn_b_men_cidg_20;vn_b_men_navy_09;vn_b_men_seal_46;vn_b_men_sf_16;vn_b_men_sf_17;vn_b_men_sf_20;vn_b_men_sog_07;vn_b_men_sog_18;vn_b_men_sog_25;vn_b_men_sog_26;vn_b_men_sog_28;vn_i_men_ranger_10;vn_o_men_nva_dc_08,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_02,Bandana (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_navy_06;vn_b_men_seal_11;vn_b_men_seal_40;vn_b_men_sf_10;vn_b_men_sf_12;vn_b_men_sf_18;vn_b_men_sog_12;vn_b_men_sog_17;vn_i_men_ranger_12;vn_i_men_ranger_18;vn_i_men_sf_12,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_03,Bandana (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;EAST;INDEPENDENT,vn_b_men_seal_03;vn_b_men_seal_47;vn_b_men_sog_06;vn_b_men_sog_20;vn_i_men_ranger_16;vn_i_men_ranger_20;vn_o_men_nva_dc_09,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_04,Bandana (Spray),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_sog_10;vn_b_men_sog_13;vn_b_men_sog_16;vn_i_men_army_17;vn_i_men_marine_17;vn_i_men_ranger_17;vn_i_men_rla_17,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_05,Bandana (Tiger green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,INDEPENDENT,vn_i_men_sf_10,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_06,Bandana (ERDL brown),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_09;vn_b_men_seal_25,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_07,Bandana (Leopard),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_cidg_10;vn_b_men_cidg_12;vn_b_men_cidg_18,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_bandana_08,Bandana (ERDL),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_aus_sas_66_02;vn_b_men_aus_sas_66_09;vn_b_men_aus_sas_70_02;vn_b_men_aus_sas_70_09;vn_b_men_nz_sas_66_02;vn_b_men_nz_sas_66_09;vn_b_men_nz_sas_70_02;vn_b_men_nz_sas_70_09,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_01,Beret (Dark Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_cidg_22;vn_b_men_sog_22;vn_b_men_sog_27,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_02,Beret (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_army_28,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_03,Beret (Maroon),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_04,Beret (Khaki Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_05,Beret (ERDL brown),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_lrrp_09;vn_b_men_seal_01,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_06,Beret (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_lrrp_07;vn_b_men_seal_05;vn_b_men_sf_22,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_07,Beret (RAC),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_aus_army_66_13;vn_b_men_aus_army_66_22;vn_b_men_aus_army_68_13;vn_b_men_aus_army_68_22;vn_b_men_aus_army_70_13;vn_b_men_aus_army_70_22,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_08,Beret (ERDL),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_09,Beret 1 (MEDT),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_medt_03;vn_b_men_medt_04;vn_b_men_medt_05,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_10,Beret 2 (MEDT),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_medt_02,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_01_11,Beret 3 (MEDT),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_medt_01,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_03_01,Beret (US TF-116),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_navy_01,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_beret_04_01,Beret (RAC Headset),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_aus_army_66_14;vn_b_men_aus_army_66_23;vn_b_men_aus_army_66_25;vn_b_men_aus_army_68_14;vn_b_men_aus_army_70_14;vn_b_men_aus_army_70_23;vn_b_men_aus_army_70_25,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_01,Boonie F/sides (Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_seal_50;vn_b_men_usmc_recon_70_07;vn_i_men_fank_70_23;vn_i_men_fank_71_23,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_02,Boonie F/sides (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_19;vn_b_men_seal_39;vn_b_men_seal_45;vn_b_men_sf_03;vn_b_men_sf_09;vn_b_men_sf_15,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_03,Boonie F/sides (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_18,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_04,Boonie F/sides (Spray),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_05,Boonie F/sides (Tiger green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,INDEPENDENT,vn_i_men_sf_05;vn_i_men_sf_07,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_06,Boonie F/sides (ERDL brown),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_lrrp_05;vn_b_men_seal_04;vn_b_men_seal_24,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_07,Boonie F/sides (Leopard),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_cidg_06;vn_b_men_cidg_15,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_08,Boonie F/sides (ERDL),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_01_09,Boonie F/sides (Grey),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_01,Boonie (Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_seal_08;vn_b_men_seal_48;vn_b_men_sog_04;vn_b_men_sog_19;vn_b_men_sog_21;vn_b_men_usmc_recon_66_01;vn_b_men_usmc_recon_66_08;vn_b_men_usmc_recon_68_01;vn_b_men_usmc_recon_68_08;vn_b_men_usmc_recon_70_01;vn_i_men_fank_70_05;vn_i_men_fank_71_05,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_02,Boonie (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_02;vn_b_men_seal_37;vn_b_men_seal_49;vn_b_men_sf_07;vn_b_men_sf_19;vn_b_men_sf_21;vn_b_men_sog_05;vn_b_men_sog_24,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_03,Boonie (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_sog_03,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_04,Boonie (Spray),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_sog_02;vn_b_men_sog_11;vn_b_men_sog_14;vn_b_men_sog_29,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_05,Boonie (Tiger green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,INDEPENDENT,vn_i_men_sf_02;vn_i_men_sf_04;vn_i_men_sf_11,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_06,Boonie (ERDL brown),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_lrrp_06;vn_b_men_lrrp_08;vn_b_men_seal_20,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_07,Boonie (Leopard),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_cidg_05;vn_b_men_cidg_07;vn_b_men_cidg_19;vn_b_men_cidg_21,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_08,Boonie (ERDL),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_aus_sas_66_03;vn_b_men_aus_sas_66_10;vn_b_men_aus_sas_66_12;vn_b_men_aus_sas_66_14;vn_b_men_aus_sas_70_03;vn_b_men_aus_sas_70_10;vn_b_men_aus_sas_70_12;vn_b_men_aus_sas_70_14;vn_b_men_nz_sas_66_03;vn_b_men_nz_sas_66_10;vn_b_men_nz_sas_66_12;vn_b_men_nz_sas_66_14;vn_b_men_nz_sas_70_03;vn_b_men_nz_sas_70_10;vn_b_men_nz_sas_70_12;vn_b_men_nz_sas_70_14;vn_b_men_usmc_recon_70_06,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_02_09,Boonie (Grey),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_01,Boonie F/front (Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_medt_06;vn_b_men_seal_13;vn_i_men_fank_70_12;vn_i_men_fank_71_12,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_02,Boonie F/front (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_41;vn_b_men_sf_04;vn_b_men_sf_11;vn_b_men_usmc_recon_66_03;vn_b_men_usmc_recon_68_03,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_03,Boonie F/front (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_17,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_04,Boonie F/front (Spray),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_05,Boonie F/front (Tiger green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,INDEPENDENT,vn_i_men_sf_01;vn_i_men_sf_03,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_06,Boonie F/front (ERDL brown),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_lrrp_03;vn_b_men_seal_16;vn_b_men_seal_51,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_07,Boonie F/front (Leopard),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_cidg_01;vn_b_men_cidg_08;vn_b_men_cidg_09,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_08,Boonie F/front (ERDL),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_usmc_recon_70_03;vn_b_men_usmc_recon_70_09,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_03_09,Boonie F/front (Grey),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_01,Boonie F/left (Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_usmc_recon_66_02;vn_b_men_usmc_recon_68_02;vn_b_men_usmc_recon_70_04;vn_i_men_fank_70_16;vn_i_men_fank_71_16,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_02,Boonie F/left (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_14;vn_b_men_seal_43;vn_b_men_sf_01;vn_b_men_sf_05;vn_b_men_sf_13,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_03,Boonie F/left (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_10,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_04,Boonie F/left (Spray),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_05,Boonie F/left (Tiger green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,INDEPENDENT,vn_i_men_sf_08,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_06,Boonie F/left (ERDL brown),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_lrrp_02;vn_b_men_seal_21;vn_b_men_seal_27,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_07,Boonie F/left (Leopard),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_cidg_02;vn_b_men_cidg_11,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_08,Boonie F/left (ERDL),No Armor,1.2,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_usmc_recon_70_02,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_04_09,Boonie F/left (Grey),No Armor,1.3,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_05_01,Boonie F/right (Green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST;INDEPENDENT,vn_b_men_usmc_recon_66_09;vn_b_men_usmc_recon_68_09;vn_i_men_fank_70_17;vn_i_men_fank_71_17,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_05_02,Boonie F/right (Tiger),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_38;vn_b_men_seal_44;vn_b_men_sf_02;vn_b_men_sf_06;vn_b_men_sf_08;vn_b_men_sf_14,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_05_03,Boonie F/right (Black),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,WEST,vn_b_men_seal_15;vn_b_men_seal_26,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_05_04,Boonie F/right (Spray),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,,,Remaining selectable official CfgWeapons equipment record.
headgear,vn_b_boonie_05_05,Boonie F/right (Tiger green),No Armor,1.0,CfgWeapons_Equipment,https://wiki.sogpf.com/index.php?title=CfgWeapons_Equipment&action=raw,INDEPENDENT,vn_i_men_sf_06;vn_i_men_sf_09,Remaining selectable official CfgWeapons equipment record.
