className,displayName,sourceSide,sourceFaction,sourceSubcategory,broadCategory,sourceWeapons
vn_o_wheeled_z157_03_nvam,Z-157 (Radar Carrier),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_03_vcmf,Z-157 (Radar Carrier),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_z157_01,Z-157 Transport,EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_01_kr,Z-157 Transport,EAST,Khmer Rouge,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_01_nva65,Z-157 Transport,EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
vn_o_wheeled_z157_01_nvam,Z-157 Transport,EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_01_pl,Z-157 Transport,EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_01_vcmf,Z-157 Transport,EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_z157_02,Z-157 Transport Covered,EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_02_kr,Z-157 Transport Covered,EAST,Khmer Rouge,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_02_nva65,Z-157 Transport Covered,EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
vn_o_wheeled_z157_02_nvam,Z-157 Transport Covered,EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_02_pl,Z-157 Transport Covered,EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_02_vcmf,Z-157 Transport Covered,EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_z157_ammo,Z-157 (Ammo Truck),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_ammo_kr,Z-157 (Ammo Truck),EAST,Khmer Rouge,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_ammo_nva65,Z-157 (Ammo Truck),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
vn_o_wheeled_z157_ammo_nvam,Z-157 (Ammo Truck),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_ammo_pl,Z-157 (Ammo Truck),EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_ammo_vcmf,Z-157 (Ammo Truck),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_z157_fuel,Z-157 (Fuel Truck),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_fuel_kr,Z-157 (Fuel Truck),EAST,Khmer Rouge,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_fuel_nva65,Z-157 (Fuel Truck),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
vn_o_wheeled_z157_fuel_nvam,Z-157 (Fuel Truck),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_fuel_pl,Z-157 (Fuel Truck),EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_fuel_vcmf,Z-157 (Fuel Truck),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_z157_repair,Z-157 (Repair Truck),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_repair_kr,Z-157 (Repair Truck),EAST,Khmer Rouge,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_repair_nva65,Z-157 (Repair Truck),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
vn_o_wheeled_z157_repair_nvam,Z-157 (Repair Truck),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_repair_pl,Z-157 (Repair Truck),EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3
vn_o_wheeled_z157_repair_vcmf,Z-157 (Repair Truck),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_btr40_mg_02,BTR-40 (DShKM),EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn;vn_dshkm_v_01
vn_o_wheeled_btr40_mg_02_kr,BTR-40 (DShKM),EAST,Khmer Rouge,Cars (Army),GROUND,CarHorn;vn_dshkm_v_01
vn_o_wheeled_btr40_mg_02_nva65,BTR-40 (DShKM),EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn;vn_dshkm_v_01
vn_o_wheeled_btr40_mg_02_nvam,BTR-40 (DShKM),EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn;vn_dshkm_v_01
vn_o_wheeled_btr40_mg_02_pl,BTR-40 (DShKM),EAST,Pathet Lao,Cars (Army),GROUND,CarHorn;vn_dshkm_v_01
vn_o_wheeled_btr40_mg_02_vcmf,BTR-40 (DShKM),EAST,Viet Cong,Cars (VC),GROUND,CarHorn;vn_dshkm_v_01
vn_o_wheeled_btr40_mg_01,BTR-40 (RPD),EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn;vn_rpd_v_01
vn_o_wheeled_btr40_mg_01_kr,BTR-40 (RPD),EAST,Khmer Rouge,Cars (Army),GROUND,CarHorn;vn_rpd_v_01
vn_o_wheeled_btr40_mg_01_nva65,BTR-40 (RPD),EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn;vn_rpd_v_01
vn_o_wheeled_btr40_mg_01_nvam,BTR-40 (RPD),EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn;vn_rpd_v_01
vn_o_wheeled_btr40_mg_01_pl,BTR-40 (RPD),EAST,Pathet Lao,Cars (Army),GROUND,CarHorn;vn_rpd_v_01
vn_o_wheeled_btr40_mg_01_vcmf,BTR-40 (RPD),EAST,Viet Cong,Cars (VC),GROUND,CarHorn;vn_rpd_v_01
vn_o_wheeled_btr40_mg_04,BTR-40 (SGM),EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn;vn_sgm_v_03
vn_o_wheeled_btr40_mg_04_kr,BTR-40 (SGM),EAST,Khmer Rouge,Cars (Army),GROUND,CarHorn;vn_sgm_v_03
vn_o_wheeled_btr40_mg_04_nva65,BTR-40 (SGM),EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn;vn_sgm_v_03
vn_o_wheeled_btr40_mg_04_nvam,BTR-40 (SGM),EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn;vn_sgm_v_03
vn_o_wheeled_btr40_mg_04_pl,BTR-40 (SGM),EAST,Pathet Lao,Cars (Army),GROUND,CarHorn;vn_sgm_v_03
vn_o_wheeled_btr40_mg_04_vcmf,BTR-40 (SGM),EAST,Viet Cong,Cars (VC),GROUND,CarHorn;vn_sgm_v_03
vn_o_wheeled_btr40_mg_06,BTR-40 (Type 53 Mortar),EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn;vn_sgm_v_03;vn_v_mortar_type53
vn_o_wheeled_btr40_mg_06_nva65,BTR-40 (Type 53 Mortar),EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn;vn_sgm_v_03;vn_v_mortar_type53
vn_o_wheeled_btr40_mg_06_nvam,BTR-40 (Type 53 Mortar),EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn;vn_sgm_v_03;vn_v_mortar_type53
vn_o_wheeled_btr40_mg_06_pl,BTR-40 (Type 53 Mortar),EAST,Pathet Lao,Cars (Army),GROUND,CarHorn;vn_sgm_v_03;vn_v_mortar_type53
vn_o_wheeled_btr40_mg_06_vcmf,BTR-40 (Type 53 Mortar),EAST,Viet Cong,Cars (VC),GROUND,CarHorn;vn_sgm_v_03;vn_v_mortar_type53
vn_o_wheeled_btr40_mg_05,BTR-40 (Type 56 RR),EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn;vn_sgm_v_03;vn_type56_v_04
vn_o_wheeled_btr40_mg_05_nva65,BTR-40 (Type 56 RR),EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn;vn_sgm_v_03;vn_type56_v_04
vn_o_wheeled_btr40_mg_05_nvam,BTR-40 (Type 56 RR),EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn;vn_sgm_v_03;vn_type56_v_04
vn_o_wheeled_btr40_mg_05_pl,BTR-40 (Type 56 RR),EAST,Pathet Lao,Cars (Army),GROUND,CarHorn;vn_sgm_v_03;vn_type56_v_04
vn_o_wheeled_btr40_mg_05_vcmf,BTR-40 (Type 56 RR),EAST,Viet Cong,Cars (VC),GROUND,CarHorn;vn_sgm_v_03;vn_type56_v_04
vn_o_car_04_mg_01,Van (Boheme Krabice/ DP-27),EAST,Viet Cong,Cars (VC),GROUND,vn_CivVanHorn1;vn_dp28_v_01
vn_o_car_04_mg_01_kr,Van (Boheme Krabice/ DP-27),EAST,Khmer Rouge,Cars (Army),GROUND,vn_CivVanHorn1;vn_dp28_v_01
vn_o_wheeled_z157_mg_01,Z-157 (DShKM),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3;vn_dshkm_v_01
vn_o_wheeled_z157_mg_01_kr,Z-157 (DShKM),EAST,Khmer Rouge,Cars (Army),GROUND,TruckHorn3;vn_dshkm_v_01
vn_o_wheeled_z157_mg_01_nva65,Z-157 (DShKM),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3;vn_dshkm_v_01
vn_o_wheeled_z157_mg_01_nvam,Z-157 (DShKM),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3;vn_dshkm_v_01
vn_o_wheeled_z157_mg_01_pl,Z-157 (DShKM),EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3;vn_dshkm_v_01
vn_o_wheeled_z157_mg_01_vcmf,Z-157 (DShKM),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3;vn_dshkm_v_01
vn_o_armor_m577_01,M577A1 Command,EAST,PAVN,APCs (PAVN 68),GROUND,vn_m113_horn
vn_o_armor_btr50pk_03,BTR-50PK Ambulance,EAST,PAVN,APCs (PAVN 68),GROUND,searchlight;vn_pt76_horn
vn_o_armor_btr50pk_03_nva65,BTR-50PK Ambulance,EAST,PAVN,APCs (PAVN 65),GROUND,searchlight;vn_pt76_horn
vn_o_armor_btr50pk_03_nvam,BTR-50PK Ambulance,EAST,PAVN,APCs (VPN Marines),GROUND,searchlight;vn_pt76_horn
vn_o_armor_m577_02,M577A1 Ambulance,EAST,PAVN,APCs (PAVN 68),GROUND,vn_m113_horn
vn_o_wheeled_btr40_mg_03,BTR-40 (ZPU-4),EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn;vn_zpu4_v_quad
vn_o_wheeled_btr40_mg_03_nva65,BTR-40 (ZPU-4),EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn;vn_zpu4_v_quad
vn_o_wheeled_btr40_mg_03_nvam,BTR-40 (ZPU-4),EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn;vn_zpu4_v_quad
vn_o_wheeled_btr40_mg_03_pl,BTR-40 (ZPU-4),EAST,Pathet Lao,Cars (Army),GROUND,CarHorn;vn_zpu4_v_quad
vn_o_wheeled_btr40_mg_03_vcmf,BTR-40 (ZPU-4),EAST,Viet Cong,Cars (VC),GROUND,CarHorn;vn_zpu4_v_quad
vn_o_wheeled_z157_mg_02,Z-157 (ZPU-4),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3;vn_zpu4_v_quad
vn_o_wheeled_z157_mg_02_nva65,Z-157 (ZPU-4),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3;vn_zpu4_v_quad
vn_o_wheeled_z157_mg_02_nvam,Z-157 (ZPU-4),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3;vn_zpu4_v_quad
vn_o_wheeled_z157_mg_02_pl,Z-157 (ZPU-4),EAST,Pathet Lao,Cars (Army),GROUND,TruckHorn3;vn_zpu4_v_quad
vn_o_wheeled_z157_mg_02_vcmf,Z-157 (ZPU-4),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3;vn_zpu4_v_quad
vn_o_armor_btr50pk_02,BTR-50PK SPAAG （ZGU-1）,EAST,PAVN,APCs (PAVN 68),GROUND,searchlight;vn_pt76_horn;vn_sgm_v_03;vn_zgu1_v_02
vn_o_armor_btr50pk_02_nva65,BTR-50PK SPAAG （ZGU-1）,EAST,PAVN,APCs (PAVN 65),GROUND,searchlight;vn_pt76_horn;vn_sgm_v_03;vn_zgu1_v_02
vn_o_armor_btr50pk_02_nvam,BTR-50PK SPAAG （ZGU-1）,EAST,PAVN,APCs (VPN Marines),GROUND,searchlight;vn_pt76_horn;vn_sgm_v_03;vn_zgu1_v_02
vn_o_armor_btr50pk_01,BTR-50PK Transport,EAST,PAVN,APCs (PAVN 68),GROUND,searchlight;vn_pt76_horn;vn_sgm_v_03
vn_o_armor_btr50pk_01_nva65,BTR-50PK Transport,EAST,PAVN,APCs (PAVN 65),GROUND,searchlight;vn_pt76_horn;vn_sgm_v_03
vn_o_armor_btr50pk_01_nvam,BTR-50PK Transport,EAST,PAVN,APCs (VPN Marines),GROUND,searchlight;vn_pt76_horn;vn_sgm_v_03
vn_o_armor_m113_acav_02_kr,M113A1 ACAV (M1919),EAST,Khmer Rouge,APCs (Army),GROUND,vn_m113_horn;vn_m1919_v_twin_01;vn_m60_v_02;vn_m60_v_03
vn_o_armor_m113_acav_01,M113A1 ACAV (M2),EAST,PAVN,APCs (PAVN 68),GROUND,vn_m113_horn;vn_m2_v_01;vn_m60_v_02;vn_m60_v_03
vn_o_armor_m113_acav_01_kr,M113A1 ACAV (M2),EAST,Khmer Rouge,APCs (Army),GROUND,vn_m113_horn;vn_m2_v_01;vn_m60_v_02;vn_m60_v_03
vn_o_armor_m113_acav_06_kr,M113A1 ACAV (M2/ M40),EAST,Khmer Rouge,APCs (Army),GROUND,vn_m113_horn;vn_m2_v_01;vn_m60_v_02;vn_m8c_v_04;vn_static_m40a1rr_v_03
vn_o_armor_m113_acav_03,M113A1 ACAV (M60),EAST,PAVN,APCs (PAVN 68),GROUND,vn_m113_horn;vn_m60_v_01;vn_m60_v_02;vn_m60_v_03
vn_o_armor_m113_acav_03_kr,M113A1 ACAV (M60),EAST,Khmer Rouge,APCs (Army),GROUND,vn_m113_horn;vn_m60_v_01;vn_m60_v_02;vn_m60_v_03
vn_o_armor_m113_01,M113A1 Transport (M2),EAST,PAVN,APCs (PAVN 68),GROUND,vn_m113_horn;vn_m2_v_01
vn_o_armor_m113_01_kr,M113A1 Transport (M2),EAST,Khmer Rouge,APCs (Army),GROUND,vn_m113_horn;vn_m2_v_01
vn_o_armor_m125_01,M125A1 M29 Mortar,EAST,PAVN,APCs (PAVN 68),GROUND,vn_m113_horn;vn_m2_v_01;vn_mortar_m29
vn_o_armor_m41_01,M41A3 Walker Bulldog,EAST,PAVN,Tanks (PAVN 68),GROUND,vn_m113_horn;vn_m1919_v_05;vn_m2_v_01;vn_m32a1_v_01
vn_o_armor_m41_02_vcmf,M41A3 Walker Bulldog,EAST,Viet Cong,Tanks (VC),GROUND,vn_m113_horn;vn_m1919_v_05;vn_m2_v_01;vn_m32a1_v_01
vn_o_armor_pt76a_01,PT-76A Tank,EAST,PAVN,Tanks (PAVN 68),GROUND,FakeWeapon;vn_d56_v_01;vn_pt76_horn;vn_sgmt_v_05
vn_o_armor_pt76a_01_nva65,PT-76A Tank,EAST,PAVN,Tanks (PAVN 65),GROUND,FakeWeapon;vn_d56_v_01;vn_pt76_horn;vn_sgmt_v_05
vn_o_armor_pt76a_01_pl,PT-76A Tank,EAST,Pathet Lao,Tanks (Army),GROUND,FakeWeapon;vn_d56_v_01;vn_pt76_horn;vn_sgmt_v_05
vn_o_armor_pt76b_01,PT-76B Tank,EAST,PAVN,Tanks (PAVN 68),GROUND,vn_d56_v_01;vn_dshkm_v_01;vn_pt76_horn;vn_sgmt_v_05
vn_o_armor_pt76b_01_nva65,PT-76B Tank,EAST,PAVN,Tanks (PAVN 65),GROUND,vn_d56_v_01;vn_dshkm_v_01;vn_pt76_horn;vn_sgmt_v_05
vn_o_armor_type63_01,Type 63 Tank,EAST,PAVN,Tanks (PAVN 68),GROUND,vn_dshkm_v_01;vn_pt76_horn;vn_sgmt_v_05;vn_t62_v_01
vn_o_armor_type63_01_nva65,Type 63 Tank,EAST,PAVN,Tanks (PAVN 65),GROUND,vn_dshkm_v_01;vn_pt76_horn;vn_sgmt_v_05;vn_t62_v_01
vn_o_armor_ot54_01,OT-54 Flame Tank,EAST,PAVN,Tanks (PAVN 68),GROUND,vn_ato54_v_05;vn_d10t2s_v_01;vn_dshkm_v_01;vn_sgmt_v_06;vn_smokegen_v;vn_t54_horn
vn_o_armor_ot54_01_nva65,OT-54 Flame Tank,EAST,PAVN,Tanks (PAVN 65),GROUND,vn_ato54_v_05;vn_d10t2s_v_01;vn_dshkm_v_01;vn_sgmt_v_06;vn_smokegen_v;vn_t54_horn
vn_o_armor_ot54_01_vcmf,OT-54 Flame Tank,EAST,Viet Cong,Tanks (VC),GROUND,vn_ato54_v_05;vn_d10t2s_v_01;vn_dshkm_v_01;vn_sgmt_v_06;vn_smokegen_v;vn_t54_horn
vn_o_armor_t54b_01,T-54B Tank,EAST,PAVN,Tanks (PAVN 68),GROUND,searchlight;vn_d10t2s_v_01;vn_dshkm_v_01;vn_sgmt_v_05;vn_sgmt_v_06;vn_smokegen_v;vn_t54_horn
vn_o_armor_t54b_01_nva65,T-54B Tank,EAST,PAVN,Tanks (PAVN 65),GROUND,searchlight;vn_d10t2s_v_01;vn_dshkm_v_01;vn_sgmt_v_05;vn_sgmt_v_06;vn_smokegen_v;vn_t54_horn
vn_o_armor_t54b_01_vcmf,T-54B Tank,EAST,Viet Cong,Tanks (VC),GROUND,searchlight;vn_d10t2s_v_01;vn_dshkm_v_01;vn_sgmt_v_05;vn_sgmt_v_06;vn_smokegen_v;vn_t54_horn
vn_o_air_mi2_02_01,Mi-2P Hoplite (Ambulance),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_v_launcher_rdg2;vn_v_launcher_rsp30
vn_o_air_mi2_02_02,Mi-2P Hoplite (Ambulance/ metal),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_v_launcher_rdg2;vn_v_launcher_rsp30
vn_o_air_mi2_01_01,Mi-2P Hoplite (Transport),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_pk_v_07;vn_v_launcher_rdg2;vn_v_launcher_rgd5;vn_v_launcher_rsp30
vn_o_air_mi2_01_03,Mi-2P Hoplite (Transport/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_pk_v_07;vn_v_launcher_rdg2;vn_v_launcher_rgd5;vn_v_launcher_rsp30
vn_o_air_mi2_01_02,Mi-2P Hoplite (Transport/ metal),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_pk_v_07;vn_v_launcher_rdg2;vn_v_launcher_rgd5;vn_v_launcher_rsp30
vn_o_air_mi2_04_05,Mi-2URN Viper (APERS),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_04_06,Mi-2URN Viper (APERS/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_04_01,Mi-2URN Viper (HE),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_04_02,Mi-2URN Viper (HE/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_04_03,Mi-2URN Viper (HEAT),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_04_04,Mi-2URN Viper (HEAT/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_05_05,Mi-2URP Salamander (AA),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_05_06,Mi-2URP Salamander (AA/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_05_01,Mi-2URP Salamander (AT),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_05_02,Mi-2URP Salamander (AT/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
