Asset,Type,ProgressionRequired,Families,UsedByCount,UsedBy,RelatedWeapons,Reason
vn_40mm_m406_he_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m433_hedp_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m576_buck_mag,Magazine,YES,m79,2,vn_m79;vn_m79_p,,additional compatible magazine
vn_40mm_m583_flare_w_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m651_cs_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m661_flare_g_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m662_flare_r_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m680_smoke_w_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m682_smoke_r_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m695_flare_y_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m715_smoke_g_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m716_smoke_y_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m717_smoke_p_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_ak_01,Weapon,YES,ak,0,,,weapon
vn_b_camo_k98k,Attachment,YES,k98k,1,vn_k98k_mrk_camo,,compatible attachment
vn_b_camo_m14,Attachment,YES,m14;m21,2,vn_m14_sd;vn_m21_sd,,compatible attachment
vn_b_camo_m14a1,Attachment,YES,m14a1,2,vn_m14a1_camo;vn_m14a1_nvg,,compatible attachment
vn_b_camo_m1_garand,Attachment,YES,m1_garand,1,vn_m1_garand_sniper,,compatible attachment
vn_b_camo_m36,Attachment,YES,m36,1,vn_m36_camo,,compatible attachment
vn_b_camo_m40a1,Attachment,YES,m40a1,1,vn_m40a1_sniper_sd,,compatible attachment
vn_b_camo_svd,Attachment,YES,svd,1,vn_svd_sniper_camo,,compatible attachment
vn_b_camo_vz54,Attachment,YES,vz54,1,vn_vz54_sniper_camo,,compatible attachment
vn_b_carbine,Attachment,YES,m1carbine;m2carbine,2,vn_m1carbine_bayo;vn_m2carbine_bayo,,compatible attachment
vn_b_k98k,Attachment,YES,k98k,1,vn_k98k_bayo,,compatible attachment
vn_b_l1a1,Attachment,YES,f1_smg;l1a1,3,vn_f1_smg_bayo;vn_l1a1_01_bayo;vn_l1a1_02_bayo,,compatible attachment
vn_b_m14,Attachment,YES,m14,1,vn_m14_bayo,,compatible attachment
vn_b_m16,Attachment,YES,m16;m16_usaf;xm16e1,3,vn_m16_bayo;vn_m16_usaf_bayo;vn_xm16e1_bayo,,compatible attachment
vn_b_m1897,Attachment,YES,m1897,1,vn_m1897_bayo,,compatible attachment
vn_b_m1903,Attachment,YES,m1903,2,vn_m1903_bayo;vn_m1903_sniper,,compatible attachment
vn_b_m1_garand,Attachment,YES,m1_garand,1,vn_m1_garand_bayo,,compatible attachment
vn_b_m36,Attachment,YES,m36,1,vn_m36_bayo,,compatible attachment
vn_b_m38,Attachment,YES,m1891;m38;m9130,3,vn_m1891_bayo;vn_m38_bayo;vn_m9130_bayo,,compatible attachment
vn_b_m4956,Attachment,YES,m4956,1,vn_m4956_bayo,,compatible attachment
vn_b_sks,Attachment,YES,sks,1,vn_sks_bayo,,compatible attachment
vn_b_type56,Attachment,YES,type56,1,vn_type56_bayo,,compatible attachment
vn_bipod_m14,Attachment,YES,m14a1,2,vn_m14a1_bipod;vn_m14a1_sniper,,compatible attachment
vn_bipod_m16,Attachment,YES,m16;xm16e1,3,vn_m16_sniper;vn_m16_sniper_sd;vn_xm16e1_sniper,,compatible attachment
vn_bipod_m1918,Attachment,YES,m1918,1,vn_m1918_bipod,,compatible attachment
vn_bipod_m63a,Attachment,YES,m63a_cdo;m63a_lmg,2,vn_m63a_cdo_bipod;vn_m63a_lmg_bipod,,compatible attachment
vn_carbine_15_mag,Magazine,YES,m1carbine;m2carbine;m3carbine,9,vn_m1carbine;vn_m1carbine_bayo;vn_m1carbine_gl;vn_m1carbine_sniper;vn_m2carbine;vn_m2carbine_bayo;vn_m2carbine_gl;vn_m2carbine_sniper;vn_m3carbine,,additional compatible magazine
vn_carbine_15_t_mag,Magazine,YES,m1carbine;m2carbine;m3carbine,9,vn_m1carbine;vn_m1carbine_bayo;vn_m1carbine_gl;vn_m1carbine_sniper;vn_m2carbine;vn_m2carbine_bayo;vn_m2carbine_gl;vn_m2carbine_sniper;vn_m3carbine,,additional compatible magazine
vn_carbine_30_mag,Magazine,YES,m1carbine;m2carbine;m3carbine,9,vn_m1carbine;vn_m1carbine_bayo;vn_m1carbine_gl;vn_m1carbine_sniper;vn_m2carbine;vn_m2carbine_bayo;vn_m2carbine_gl;vn_m2carbine_sniper;vn_m3carbine,,additional compatible magazine
vn_carbine_30_t_mag,Magazine,YES,m1carbine;m2carbine;m3carbine,9,vn_m1carbine;vn_m1carbine_bayo;vn_m1carbine_gl;vn_m1carbine_sniper;vn_m2carbine;vn_m2carbine_bayo;vn_m2carbine_gl;vn_m2carbine_sniper;vn_m3carbine,,additional compatible magazine
vn_dp28,Weapon,YES,dp28,0,,,weapon
vn_dp28_mag,Base Magazine,NO,dp28,1,vn_dp28,,included base magazine
vn_f1_smg,Weapon,YES,f1_smg,0,,,weapon
vn_f1_smg_bayo,Derived Weapon,NO,f1_smg,0,,vn_f1_smg,canonical alias of vn_f1_smg
vn_f1_smg_mag,Base Magazine,NO,f1_smg;l2a3;l34a1,7,vn_f1_smg;vn_f1_smg_bayo;vn_l2a3;vn_l2a3_f;vn_l34a1;vn_l34a1_f;vn_l34a1_xm148,,included base magazine
vn_f1_smg_t_mag,Magazine,YES,f1_smg;l2a3;l34a1,7,vn_f1_smg;vn_f1_smg_bayo;vn_l2a3;vn_l2a3_f;vn_l34a1;vn_l34a1_f;vn_l34a1_xm148,,additional compatible magazine
vn_fkb1_pm,Weapon,YES,fkb1_pm,0,,,weapon
vn_fkb1_pm_sd,Derived Weapon,NO,fkb1_pm,0,,vn_fkb1_pm,canonical alias of vn_fkb1_pm
vn_gau5a,Weapon,YES,gau5a,0,,,weapon
vn_gau5a_mrk,Derived Weapon,NO,gau5a,0,,vn_gau5a,canonical alias of vn_gau5a
vn_hd,Weapon,YES,hd,0,,,weapon
vn_hd_mag,Base Magazine,NO,hd,1,vn_hd,,included base magazine
vn_hp,Weapon,YES,hp,0,,,weapon
vn_hp_mag,Base Magazine,NO,hp;m1carbine,3,vn_hp;vn_hp_sd;vn_m1carbine_shorty,,included base magazine
vn_hp_sd,Derived Weapon,NO,hp,0,,vn_hp,canonical alias of vn_hp
vn_izh54,Weapon,YES,izh54,0,,,weapon
vn_izh54_mag,Base Magazine,NO,izh54,3,vn_izh54;vn_izh54_p;vn_izh54_shorty,,included base magazine
vn_izh54_p,Weapon,YES,izh54,0,,,weapon
vn_izh54_shorty,Weapon,YES,izh54,0,,,weapon
vn_izh54_so_mag,Magazine,YES,izh54,2,vn_izh54_p;vn_izh54_shorty,,additional compatible magazine
vn_k50m,Weapon,YES,k50m,0,,,weapon
vn_k98k,Weapon,YES,k98k,0,,,weapon
vn_k98k_bayo,Derived Weapon,NO,k98k,0,,vn_k98k,canonical alias of vn_k98k
vn_k98k_mag,Base Magazine,NO,k98k,4,vn_k98k;vn_k98k_bayo;vn_k98k_mrk;vn_k98k_mrk_camo,,included base magazine
vn_k98k_mrk,Derived Weapon,NO,k98k,0,,vn_k98k,canonical alias of vn_k98k
vn_k98k_mrk_camo,Derived Weapon,NO,k98k,0,,vn_k98k_mrk,canonical alias of vn_k98k_mrk
vn_k98k_t_mag,Magazine,YES,k98k,4,vn_k98k;vn_k98k_bayo;vn_k98k_mrk;vn_k98k_mrk_camo,,additional compatible magazine
vn_kbkg,Weapon,YES,kbkg,0,,,weapon
vn_kbkg_gl,Derived Weapon,NO,kbkg,0,,vn_kbkg,canonical alias of vn_kbkg
vn_kbkg_mag,Magazine,YES,ak;kbkg;type56,5,vn_ak_01;vn_kbkg;vn_kbkg_gl;vn_type56;vn_type56_bayo,,additional compatible magazine
vn_kbkg_t_mag,Magazine,YES,ak;kbkg;type56,5,vn_ak_01;vn_kbkg;vn_kbkg_gl;vn_type56;vn_type56_bayo,,additional compatible magazine
vn_l1a1_01,Weapon,YES,l1a1,0,,,weapon
vn_l1a1_01_bayo,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_01_camo,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_01_gl,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_01_mrk,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_02,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_02_bayo,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_02_camo,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_02_gl,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_02_mrk,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_03,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_03_camo,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_10_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_10_t_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_20_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_20_t_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_30_02_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_30_02_t_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_30_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_30_t_mag,Magazine,YES,l1a1;l2a1;l4,16,vn_l1a1_01;vn_l1a1_01_bayo;vn_l1a1_01_camo;vn_l1a1_01_gl;vn_l1a1_01_mrk;vn_l1a1_02;vn_l1a1_02_bayo;vn_l1a1_02_camo;vn_l1a1_02_gl;vn_l1a1_02_mrk;vn_l1a1_03;vn_l1a1_03_camo;vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l2a1_01;vn_l4,,additional compatible magazine
vn_l1a1_xm148,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l1a1_xm148_camo,Derived Weapon,NO,l1a1,0,,vn_l1a1_01,canonical alias of vn_l1a1_01
vn_l2a1_01,Weapon,YES,l2a1,0,,,weapon
vn_l2a3,Weapon,YES,l2a3,0,,,weapon
vn_l2a3_f,Weapon,YES,l2a3,0,,,weapon
vn_l34a1,Weapon,YES,l34a1,0,,,weapon
vn_l34a1_f,Weapon,YES,l34a1,0,,,weapon
vn_l34a1_xm148,Weapon,YES,l34a1,0,,,weapon
vn_l4,Weapon,YES,l4,0,,,weapon
vn_m10,Weapon,YES,m10,0,,,weapon
vn_m10_mag,Base Magazine,NO,m10;p38s,3,vn_m10;vn_m10_sd;vn_p38s,,included base magazine
vn_m10_sd,Derived Weapon,NO,m10,0,,vn_m10,canonical alias of vn_m10
vn_m127,Weapon,YES,m127,0,,,weapon
vn_m127_mag,Magazine,YES,m127,1,vn_m127,,additional compatible magazine
vn_m128_mag,Magazine,YES,m127,1,vn_m127,,additional compatible magazine
vn_m129_mag,Magazine,YES,m127,1,vn_m127,,additional compatible magazine
vn_m14,Weapon,YES,m14,0,,,weapon
vn_m14_10_mag,Magazine,YES,m14;m14a1;m21,15,vn_m14;vn_m14_bayo;vn_m14_camo;vn_m14_sd;vn_m14a1;vn_m14a1_bipod;vn_m14a1_camo;vn_m14a1_nvg;vn_m14a1_shorty;vn_m14a1_shorty_fs;vn_m14a1_sniper;vn_m21;vn_m21_nvg;vn_m21_nvg_sd;vn_m21_sd,,additional compatible magazine
vn_m14_10_t_mag,Magazine,YES,m14;m14a1;m21,15,vn_m14;vn_m14_bayo;vn_m14_camo;vn_m14_sd;vn_m14a1;vn_m14a1_bipod;vn_m14a1_camo;vn_m14a1_nvg;vn_m14a1_shorty;vn_m14a1_shorty_fs;vn_m14a1_sniper;vn_m21;vn_m21_nvg;vn_m21_nvg_sd;vn_m21_sd,,additional compatible magazine
vn_m14_bayo,Derived Weapon,NO,m14,0,,vn_m14,canonical alias of vn_m14
vn_m14_camo,Weapon,YES,m14,0,,,weapon
vn_m14_mag,Magazine,YES,m14;m14a1;m21,15,vn_m14;vn_m14_bayo;vn_m14_camo;vn_m14_sd;vn_m14a1;vn_m14a1_bipod;vn_m14a1_camo;vn_m14a1_nvg;vn_m14a1_shorty;vn_m14a1_shorty_fs;vn_m14a1_sniper;vn_m21;vn_m21_nvg;vn_m21_nvg_sd;vn_m21_sd,,additional compatible magazine
vn_m14_sd,Derived Weapon,NO,m14,0,,vn_m14,canonical alias of vn_m14
vn_m14_t_mag,Magazine,YES,m14;m14a1;m21,15,vn_m14;vn_m14_bayo;vn_m14_camo;vn_m14_sd;vn_m14a1;vn_m14a1_bipod;vn_m14a1_camo;vn_m14a1_nvg;vn_m14a1_shorty;vn_m14a1_shorty_fs;vn_m14a1_sniper;vn_m21;vn_m21_nvg;vn_m21_nvg_sd;vn_m21_sd,,additional compatible magazine
vn_m14a1,Weapon,YES,m14a1,0,,,weapon
vn_m14a1_bipod,Derived Weapon,NO,m14a1,0,,vn_m14a1,canonical alias of vn_m14a1
vn_m14a1_camo,Derived Weapon,NO,m14a1,0,,vn_m14a1,canonical alias of vn_m14a1
vn_m14a1_nvg,Derived Weapon,NO,m14a1,0,,vn_m14a1_camo,canonical alias of vn_m14a1_camo
vn_m14a1_shorty,Weapon,YES,m14a1,0,,,weapon
vn_m14a1_shorty_fs,Derived Weapon,NO,m14a1,0,,vn_m14a1,canonical alias of vn_m14a1
vn_m14a1_sniper,Derived Weapon,NO,m14a1,0,,vn_m14a1_bipod,canonical alias of vn_m14a1_bipod
vn_m16,Weapon,YES,m16,0,,,weapon
vn_m16_20_mag,Magazine,YES,gau5a;m16;m16_muzzle;m16_usaf;xm16e1;xm177;xm177_fg;xm177_muzzle;xm177e1,46,vn_gau5a;vn_gau5a_mrk;vn_m16;vn_m16_bayo;vn_m16_camo;vn_m16_m203;vn_m16_m203_camo;vn_m16_mrk;vn_m16_mrk_sd;vn_m16_muzzle;vn_m16_nvg;vn_m16_nvg_sd;vn_m16_sd;vn_m16_sniper;vn_m16_sniper_sd;vn_m16_usaf;vn_m16_usaf_bayo;vn_m16_usaf_mrk;vn_m16_usaf_nvg;vn_m16_usaf_sniper;vn_m16_xm148;vn_xm16e1;vn_xm16e1_bayo;vn_xm16e1_mrk;vn_xm16e1_nvg;vn_xm16e1_sniper;vn_xm16e1_xm148;vn_xm177;vn_xm177_camo;vn_xm177_fg;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_mrk;vn_xm177_muzzle;vn_xm177_nvg;vn_xm177_short;vn_xm177_sniper;vn_xm177_stock;vn_xm177_stock_camo;vn_xm177_xm148;vn_xm177_xm148_camo;vn_xm177e1;vn_xm177e1_camo;vn_xm177e1_mrk;vn_xm177e1_nvg;vn_xm177e1_sniper,,additional compatible magazine
vn_m16_20_t_mag,Magazine,YES,gau5a;m16;m16_muzzle;m16_usaf;xm16e1;xm177;xm177_fg;xm177_muzzle;xm177e1,46,vn_gau5a;vn_gau5a_mrk;vn_m16;vn_m16_bayo;vn_m16_camo;vn_m16_m203;vn_m16_m203_camo;vn_m16_mrk;vn_m16_mrk_sd;vn_m16_muzzle;vn_m16_nvg;vn_m16_nvg_sd;vn_m16_sd;vn_m16_sniper;vn_m16_sniper_sd;vn_m16_usaf;vn_m16_usaf_bayo;vn_m16_usaf_mrk;vn_m16_usaf_nvg;vn_m16_usaf_sniper;vn_m16_xm148;vn_xm16e1;vn_xm16e1_bayo;vn_xm16e1_mrk;vn_xm16e1_nvg;vn_xm16e1_sniper;vn_xm16e1_xm148;vn_xm177;vn_xm177_camo;vn_xm177_fg;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_mrk;vn_xm177_muzzle;vn_xm177_nvg;vn_xm177_short;vn_xm177_sniper;vn_xm177_stock;vn_xm177_stock_camo;vn_xm177_xm148;vn_xm177_xm148_camo;vn_xm177e1;vn_xm177e1_camo;vn_xm177e1_mrk;vn_xm177e1_nvg;vn_xm177e1_sniper,,additional compatible magazine
