WeaponClass,DisplayName,SourceAffiliations,UsedByCount,UsedBy
vn_m14a1_sniper,M14A1 (9x Optic),NONE,0,
vn_m16,M16A1,WEST+INDEPENDENT,120,vn_b_men_aircrew_04;vn_b_men_aircrew_11;vn_b_men_aircrew_29;vn_b_men_aircrew_30;vn_b_men_aircrew_33;vn_b_men_aircrew_34;vn_b_men_aircrew_43;vn_b_men_aircrew_44;vn_b_men_army_01;vn_b_men_army_03;vn_b_men_army_05;vn_b_men_army_12;vn_b_men_army_15;vn_b_men_army_18;vn_b_men_army_19;vn_b_men_army_22;vn_b_men_army_30;vn_b_men_army_31;vn_b_men_aus_army_66_01;vn_b_men_aus_army_66_02;vn_b_men_aus_army_66_05;vn_b_men_aus_army_66_14;vn_b_men_aus_army_66_15;vn_b_men_aus_army_66_26;vn_b_men_aus_army_68_01;vn_b_men_aus_army_68_02;vn_b_men_aus_army_68_05;vn_b_men_aus_army_68_14;vn_b_men_aus_army_68_15;vn_b_men_aus_army_70_01;vn_b_men_aus_army_70_02;vn_b_men_aus_army_70_05;vn_b_men_aus_army_70_14;vn_b_men_aus_army_70_15;vn_b_men_aus_army_70_26;vn_b_men_navy_01;vn_b_men_navy_02;vn_b_men_navy_03;vn_b_men_navy_05;vn_b_men_nz_army_66_01;vn_b_men_nz_army_66_02;vn_b_men_nz_army_66_04;vn_b_men_nz_army_66_05;vn_b_men_nz_army_66_13;vn_b_men_nz_army_66_21;vn_b_men_nz_army_68_01;vn_b_men_nz_army_68_02;vn_b_men_nz_army_68_04;vn_b_men_nz_army_68_05;vn_b_men_nz_army_68_13;vn_b_men_nz_army_70_01;vn_b_men_nz_army_70_02;vn_b_men_nz_army_70_04;vn_b_men_nz_army_70_05;vn_b_men_nz_army_70_13;vn_b_men_rok_army_68_01;vn_b_men_rok_army_68_03;vn_b_men_rok_army_68_05;vn_b_men_rok_army_68_12;vn_b_men_rok_army_68_15;vn_b_men_rok_army_68_18;vn_b_men_rok_army_68_19;vn_b_men_rok_army_68_30;vn_b_men_rok_army_68_31;vn_b_men_seal_07;vn_b_men_seal_25;vn_b_men_seal_48;vn_b_men_sf_10;vn_b_men_usmc_68_01;vn_b_men_usmc_68_02;vn_b_men_usmc_68_03;vn_b_men_usmc_68_04;vn_b_men_usmc_68_05;vn_b_men_usmc_68_12;vn_b_men_usmc_68_14;vn_b_men_usmc_68_27;vn_b_men_usmc_70_01;vn_b_men_usmc_70_02;vn_b_men_usmc_70_03;vn_b_men_usmc_70_04;vn_b_men_usmc_70_05;vn_b_men_usmc_70_12;vn_b_men_usmc_70_13;vn_b_men_usmc_70_14;vn_b_men_usmc_70_15;vn_b_men_usmc_70_17;vn_b_men_usmc_70_18;vn_b_men_usmc_70_21;vn_b_men_usmc_70_27;vn_b_men_usmc_70_28;vn_b_men_usmc_recon_68_03;vn_b_men_usmc_recon_68_06;vn_b_men_usmc_recon_68_08;vn_b_men_usmc_recon_70_06;vn_b_men_usmc_recon_70_08;vn_i_men_aircrew_07;vn_i_men_army_01;vn_i_men_army_03;vn_i_men_army_05;vn_i_men_army_12;vn_i_men_army_15;vn_i_men_army_18;vn_i_men_army_19;vn_i_men_army_22;vn_i_men_fank_71_01;vn_i_men_fank_71_12;vn_i_men_fank_71_14;vn_i_men_fank_71_15;vn_i_men_marine_01;vn_i_men_ranger_01;vn_i_men_ranger_03;vn_i_men_ranger_05;vn_i_men_ranger_12;vn_i_men_ranger_15;vn_i_men_ranger_18;vn_i_men_ranger_19;vn_i_men_sf_01;vn_i_men_sf_03;vn_i_men_sf_05;vn_i_men_sf_12
vn_m16_bayo,M16A1 (Bayonet),WEST+INDEPENDENT,30,vn_b_men_army_08;vn_b_men_army_16;vn_b_men_army_20;vn_b_men_army_21;vn_b_men_navy_08;vn_b_men_rok_army_68_08;vn_b_men_rok_army_68_16;vn_b_men_rok_army_68_20;vn_b_men_rok_army_68_21;vn_b_men_usmc_68_08;vn_b_men_usmc_68_16;vn_b_men_usmc_70_08;vn_b_men_usmc_70_16;vn_b_men_usmc_70_20;vn_i_men_army_02;vn_i_men_army_08;vn_i_men_army_16;vn_i_men_army_20;vn_i_men_army_21;vn_i_men_fank_71_02;vn_i_men_fank_71_16;vn_i_men_marine_16;vn_i_men_marine_20;vn_i_men_ranger_02;vn_i_men_ranger_08;vn_i_men_ranger_16;vn_i_men_ranger_20;vn_i_men_ranger_21;vn_i_men_sf_02;vn_i_men_sf_08
vn_m16_mrk_sd,M16A1 (4x Optic/S),NONE,0,
vn_m16_muzzle,M16A1 (XM148),NONE,0,
vn_m16_nvg_sd,M16A1 (NV Optic/S),NONE,0,
vn_m16_sd,M16A1 (S),NONE,0,
vn_m16_usaf,M16 USAF,NONE,0,
vn_m16_usaf_bayo,M16 USAF (Bayonet),NONE,0,
vn_m16_usaf_mrk,M16 USAF (4x Optic),NONE,0,
vn_m16_usaf_nvg,M16 USAF (NV Optic),NONE,0,
vn_m16_usaf_sniper,M16 USAF (9x Optic),NONE,0,
vn_m1897,M1897,WEST+INDEPENDENT,35,vn_b_men_aircrew_03;vn_b_men_aircrew_07;vn_b_men_aircrew_15;vn_b_men_aircrew_19;vn_b_men_aircrew_23;vn_b_men_aircrew_47;vn_b_men_army_04;vn_b_men_army_09;vn_b_men_cidg_19;vn_b_men_navy_04;vn_b_men_navy_09;vn_b_men_rok_army_65_04;vn_b_men_rok_army_65_09;vn_b_men_rok_army_68_04;vn_b_men_rok_army_68_09;vn_b_men_rok_marine_65_04;vn_b_men_rok_marine_65_09;vn_b_men_rok_marine_68_04;vn_b_men_rok_marine_68_09;vn_b_men_seal_03;vn_b_men_sf_19;vn_b_men_usmc_66_09;vn_b_men_usmc_68_09;vn_b_men_usmc_70_09;vn_b_men_usmc_recon_66_04;vn_b_men_usmc_recon_68_04;vn_b_men_usmc_recon_70_04;vn_i_men_aircrew_11;vn_i_men_army_04;vn_i_men_army_09;vn_i_men_marine_04;vn_i_men_ranger_04;vn_i_men_ranger_09;vn_i_men_sf_04;vn_i_men_sf_09
vn_m1897_bayo,M1897 (Bayonet),NONE,0,
vn_m1903,M1903 Rifle,NONE,0,
vn_m1903_bayo,M1903 (Bayonet),INDEPENDENT,1,vn_i_men_rla_16
vn_m1903_gl,M1903 (Rifle Grenade),NONE,0,
vn_m1903_sniper,M1903 (8x Optic),NONE,0,
vn_m1911,M1911,WEST+INDEPENDENT,166,vn_b_men_aircrew_01;vn_b_men_aircrew_02;vn_b_men_aircrew_05;vn_b_men_aircrew_06;vn_b_men_aircrew_13;vn_b_men_aircrew_14;vn_b_men_aircrew_17;vn_b_men_aircrew_18;vn_b_men_aircrew_21;vn_b_men_aircrew_22;vn_b_men_aircrew_25;vn_b_men_aircrew_26;vn_b_men_aircrew_41;vn_b_men_aircrew_42;vn_b_men_aircrew_45;vn_b_men_aircrew_46;vn_b_men_aircrew_49;vn_b_men_aircrew_50;vn_b_men_army_01;vn_b_men_army_06;vn_b_men_army_07;vn_b_men_army_10;vn_b_men_army_28;vn_b_men_army_29;vn_b_men_cidg_01;vn_b_men_cidg_06;vn_b_men_cidg_09;vn_b_men_cidg_13;vn_b_men_cidg_16;vn_b_men_cidg_22;vn_b_men_navy_01;vn_b_men_navy_04;vn_b_men_navy_06;vn_b_men_navy_07;vn_b_men_rok_army_65_01;vn_b_men_rok_army_65_02;vn_b_men_rok_army_65_06;vn_b_men_rok_army_65_07;vn_b_men_rok_army_65_10;vn_b_men_rok_army_65_11;vn_b_men_rok_army_65_28;vn_b_men_rok_army_65_29;vn_b_men_rok_army_68_01;vn_b_men_rok_army_68_06;vn_b_men_rok_army_68_07;vn_b_men_rok_army_68_10;vn_b_men_rok_army_68_11;vn_b_men_rok_army_68_28;vn_b_men_rok_army_68_29;vn_b_men_rok_marine_65_01;vn_b_men_rok_marine_65_06;vn_b_men_rok_marine_65_07;vn_b_men_rok_marine_65_10;vn_b_men_rok_marine_65_11;vn_b_men_rok_marine_65_19;vn_b_men_rok_marine_65_28;vn_b_men_rok_marine_65_29;vn_b_men_rok_marine_68_01;vn_b_men_rok_marine_68_02;vn_b_men_rok_marine_68_06;vn_b_men_rok_marine_68_07;vn_b_men_rok_marine_68_10;vn_b_men_rok_marine_68_11;vn_b_men_rok_marine_68_19;vn_b_men_rok_marine_68_28;vn_b_men_rok_marine_68_29;vn_b_men_seal_02;vn_b_men_seal_07;vn_b_men_seal_10;vn_b_men_seal_19;vn_b_men_seal_20;vn_b_men_seal_23;vn_b_men_seal_26;vn_b_men_seal_28;vn_b_men_seal_32;vn_b_men_seal_37;vn_b_men_seal_43;vn_b_men_seal_46;vn_b_men_sf_13;vn_b_men_sf_16;vn_b_men_sf_22;vn_b_men_sog_04;vn_b_men_sog_06;vn_b_men_sog_11;vn_b_men_sog_16;vn_b_men_sog_22;vn_b_men_sog_24;vn_b_men_sog_25;vn_b_men_sog_26;vn_b_men_sog_27;vn_b_men_usmc_66_01;vn_b_men_usmc_66_03;vn_b_men_usmc_66_06;vn_b_men_usmc_66_07;vn_b_men_usmc_66_10;vn_b_men_usmc_66_20;vn_b_men_usmc_66_22;vn_b_men_usmc_66_26;vn_b_men_usmc_68_01;vn_b_men_usmc_68_03;vn_b_men_usmc_68_06;vn_b_men_usmc_68_07;vn_b_men_usmc_68_10;vn_b_men_usmc_68_20;vn_b_men_usmc_68_22;vn_b_men_usmc_68_26;vn_b_men_usmc_70_01;vn_b_men_usmc_70_03;vn_b_men_usmc_70_06;vn_b_men_usmc_70_07;vn_b_men_usmc_70_10;vn_b_men_usmc_70_20;vn_b_men_usmc_70_22;vn_b_men_usmc_70_26;vn_b_men_usmc_recon_66_05;vn_b_men_usmc_recon_68_05;vn_b_men_usmc_recon_70_05;vn_i_men_aircrew_01;vn_i_men_aircrew_02;vn_i_men_aircrew_05;vn_i_men_aircrew_06;vn_i_men_aircrew_08;vn_i_men_aircrew_09;vn_i_men_aircrew_10;vn_i_men_army_01;vn_i_men_army_04;vn_i_men_army_06;vn_i_men_army_07;vn_i_men_army_10;vn_i_men_army_26;vn_i_men_fank_71_02;vn_i_men_fank_71_04;vn_i_men_fank_71_06;vn_i_men_fank_71_07;vn_i_men_fank_71_08;vn_i_men_fank_71_10;vn_i_men_fank_71_26;vn_i_men_jetpilot_01;vn_i_men_jetpilot_02;vn_i_men_marine_01;vn_i_men_marine_02;vn_i_men_marine_04;vn_i_men_marine_06;vn_i_men_marine_07;vn_i_men_marine_10;vn_i_men_marine_22;vn_i_men_marine_23;vn_i_men_ranger_01;vn_i_men_ranger_04;vn_i_men_ranger_06;vn_i_men_ranger_07;vn_i_men_ranger_10;vn_i_men_ranger_22;vn_i_men_rla_01;vn_i_men_rla_04;vn_i_men_rla_06;vn_i_men_rla_07;vn_i_men_rla_10;vn_i_men_rla_22;vn_i_men_rla_23;vn_i_men_sf_01;vn_i_men_sf_04;vn_i_men_sf_06;vn_i_men_sf_07;vn_i_men_sf_10;vn_i_men_sf_13
vn_m1918,M1918A2,NONE,0,
vn_m1918_bipod,M1918A2 (Bipod),WEST+EAST+INDEPENDENT,11,vn_b_men_cidg_15;vn_b_men_cidg_18;vn_b_men_rok_army_65_06;vn_b_men_rok_army_65_27;vn_b_men_rok_marine_65_06;vn_b_men_rok_marine_68_06;vn_i_men_fank_71_11;vn_i_men_marine_06;vn_i_men_rla_06;vn_i_men_rla_11;vn_o_men_kr_70_11
vn_m1928_tommy,M1928 Tommy Gun,NONE,0,
vn_m1928a1_tommy,M1928A1 Tommy Gun,WEST+INDEPENDENT,4,vn_b_men_rok_army_65_02;vn_b_men_rok_marine_65_19;vn_i_men_fank_71_04;vn_i_men_fank_71_20
vn_m1_garand,M1 Garand,WEST+INDEPENDENT,10,vn_b_men_rok_army_65_15;vn_b_men_rok_army_65_18;vn_b_men_rok_army_65_19;vn_b_men_rok_marine_65_02;vn_b_men_rok_marine_65_15;vn_b_men_rok_marine_65_18;vn_i_men_fank_71_19;vn_i_men_rla_02;vn_i_men_rla_05;vn_i_men_rla_21
vn_m1_garand_bayo,M1 Garand (Bayonet),WEST+EAST+INDEPENDENT,13,vn_b_men_rok_army_65_05;vn_b_men_rok_army_65_08;vn_b_men_rok_army_65_16;vn_b_men_rok_army_65_21;vn_b_men_rok_marine_65_05;vn_b_men_rok_marine_65_08;vn_b_men_rok_marine_65_16;vn_b_men_rok_marine_65_21;vn_i_men_fank_71_18;vn_i_men_fank_71_21;vn_i_men_rla_08;vn_i_men_rla_15;vn_o_men_pl_27
vn_m1_garand_gl,M1 Garand (Rifle Grenade),WEST+INDEPENDENT,6,vn_b_men_rok_army_65_07;vn_b_men_rok_army_65_12;vn_b_men_rok_marine_65_07;vn_b_men_rok_marine_65_12;vn_b_men_usmc_66_12;vn_i_men_rla_07
vn_m1_garand_sniper,M1 Garand (3x Optic),WEST+INDEPENDENT,6,vn_b_men_rok_army_65_10;vn_b_men_rok_marine_65_10;vn_b_men_rok_marine_68_10;vn_b_men_usmc_66_10;vn_i_men_fank_71_10;vn_i_men_marine_10
vn_m1a1_tommy,M1A1 Tommy Gun,WEST+INDEPENDENT,13,vn_b_men_cidg_22;vn_b_men_rok_army_65_13;vn_b_men_rok_army_65_30;vn_b_men_rok_marine_65_13;vn_b_men_rok_marine_65_30;vn_b_men_rok_marine_68_13;vn_b_men_rok_marine_68_30;vn_b_men_seal_42;vn_i_men_marine_09;vn_i_men_marine_13;vn_i_men_marine_24;vn_i_men_rla_01;vn_i_men_rla_24
vn_m1a1_tommy_so,M1A1 Tommy Gun (shorty),WEST+EAST+INDEPENDENT,7,vn_b_men_aircrew_38;vn_b_men_seal_02;vn_b_men_seal_21;vn_i_men_marine_14;vn_i_men_rla_04;vn_i_men_rla_13;vn_o_men_pl_23
vn_m1carbine,M1 Carbine,WEST+EAST+INDEPENDENT,9,vn_b_men_cidg_08;vn_b_men_cidg_10;vn_b_men_cidg_16;vn_i_men_fank_71_03;vn_i_men_fank_71_22;vn_i_men_fank_71_24;vn_i_men_rla_03;vn_i_men_rla_19;vn_o_men_vc_local_16
vn_m1carbine_bayo,M1 Carbine (Bayonet),WEST+EAST,2,vn_b_men_cidg_14;vn_o_men_vc_local_27
vn_m1carbine_gl,M1 Carbine (Rifle Grenade),WEST+EAST+INDEPENDENT,3,vn_b_men_cidg_17;vn_i_men_rla_12;vn_o_men_vc_local_07
vn_m1carbine_sniper,M1 Carbine (2.2x optic),WEST+INDEPENDENT,2,vn_b_men_cidg_12;vn_i_men_rla_10
vn_m20a1b1_01,M20A1B1,WEST+INDEPENDENT,3,vn_b_men_usmc_66_20;vn_b_men_usmc_68_20;vn_i_men_fank_71_22
vn_m21,XM21 Sniper Rifle,WEST+INDEPENDENT,9,vn_b_men_army_10;vn_b_men_aus_army_70_10;vn_b_men_nz_army_70_10;vn_b_men_rok_army_68_10;vn_b_men_sf_21;vn_b_men_usmc_68_10;vn_i_men_army_10;vn_i_men_ranger_10;vn_i_men_sf_10
vn_m21_nvg_sd,XM21 Sniper Rifle (NV Optic/S),NONE,0,
vn_m2carbine,M2 Carbine,WEST+INDEPENDENT,17,vn_b_men_rok_army_65_01;vn_b_men_rok_army_65_03;vn_b_men_rok_army_65_14;vn_b_men_rok_army_65_31;vn_b_men_rok_marine_65_01;vn_b_men_rok_marine_65_03;vn_b_men_rok_marine_65_14;vn_b_men_rok_marine_65_31;vn_b_men_rok_marine_68_01;vn_b_men_rok_marine_68_03;vn_b_men_rok_marine_68_14;vn_b_men_usmc_66_04;vn_b_men_usmc_66_21;vn_b_men_usmc_68_21;vn_i_men_marine_25;vn_i_men_rla_09;vn_i_men_rla_25
vn_m2carbine_gl,M2 Carbine (Rifle Grenade),WEST+INDEPENDENT,2,vn_b_men_cidg_07;vn_i_men_rla_17
vn_m36,M36,EAST+INDEPENDENT,3,vn_i_men_fank_70_19;vn_o_men_kr_70_15;vn_o_men_vc_local_13
vn_m36_bayo,M36 (Bayonet),EAST+INDEPENDENT,4,vn_i_men_fank_70_21;vn_i_men_rla_20;vn_o_men_kr_70_13;vn_o_men_pl_30
vn_m36_camo,M36 (Camo),NONE,0,
vn_m3a1,M3A1 Grease Gun,WEST+EAST+INDEPENDENT,41,vn_b_men_aircrew_08;vn_b_men_aircrew_12;vn_b_men_aircrew_16;vn_b_men_aircrew_20;vn_b_men_aircrew_24;vn_b_men_aircrew_48;vn_b_men_army_13;vn_b_men_army_14;vn_b_men_army_23;vn_b_men_army_24;vn_b_men_army_25;vn_b_men_rok_army_68_13;vn_b_men_rok_army_68_14;vn_b_men_rok_army_68_23;vn_b_men_rok_army_68_24;vn_b_men_rok_army_68_25;vn_b_men_usmc_66_01;vn_b_men_usmc_66_23;vn_b_men_usmc_66_24;vn_b_men_usmc_66_25;vn_b_men_usmc_68_23;vn_b_men_usmc_68_24;vn_b_men_usmc_68_25;vn_b_men_usmc_70_23;vn_b_men_usmc_70_24;vn_b_men_usmc_70_25;vn_i_men_aircrew_04;vn_i_men_aircrew_12;vn_i_men_army_13;vn_i_men_army_14;vn_i_men_army_23;vn_i_men_army_24;vn_i_men_army_25;vn_i_men_ranger_13;vn_i_men_ranger_14;vn_o_men_vc_local_09;vn_o_men_vc_local_20;vn_o_men_vc_local_23;vn_o_men_vc_local_30;vn_o_men_vc_regional_06;vn_o_men_vc_regional_09
vn_m40a1,M40 Sniper Rifle,NONE,0,
vn_m40a1_camo,M40 Sniper Rifle Camo,NONE,0,
vn_m40a1_nvg,M40 Sniper Rifle (NV Optic),NONE,0,
vn_m40a1_nvg_sd,M40 Sniper Rifle (NV Optic/S),NONE,0,
vn_m40a1_sniper_sd,M40 Sniper Rifle (Camo/S),NONE,0,
vn_m60,M60,WEST+INDEPENDENT,28,vn_b_men_army_06;vn_b_men_army_27;vn_b_men_aus_army_66_06;vn_b_men_aus_army_68_06;vn_b_men_aus_army_70_06;vn_b_men_cidg_05;vn_b_men_navy_06;vn_b_men_nz_army_66_06;vn_b_men_nz_army_68_06;vn_b_men_nz_army_70_06;vn_b_men_rok_army_68_06;vn_b_men_rok_army_68_27;vn_b_men_rok_marine_68_11;vn_b_men_sf_15;vn_b_men_usmc_66_06;vn_b_men_usmc_68_06;vn_b_men_usmc_70_06;vn_b_men_usmc_recon_66_05;vn_b_men_usmc_recon_68_05;vn_b_men_usmc_recon_70_05;vn_i_men_army_06;vn_i_men_army_11;vn_i_men_fank_71_06;vn_i_men_marine_11;vn_i_men_ranger_06;vn_i_men_ranger_11;vn_i_men_sf_06;vn_i_men_sf_11
vn_m63a_cdo_bipod,M63A Commando (Bipod),NONE,0,
vn_m63a_lmg_bipod,M63A LMG (Bipod),NONE,0,
vn_m72,M72 LAW,WEST+INDEPENDENT,49,vn_b_men_army_02;vn_b_men_army_04;vn_b_men_army_12;vn_b_men_aus_army_66_12;vn_b_men_aus_army_68_12;vn_b_men_aus_army_70_12;vn_b_men_aus_sas_66_02;vn_b_men_lrrp_03;vn_b_men_lrrp_06;vn_b_men_lrrp_07;vn_b_men_medt_03;vn_b_men_nz_army_66_12;vn_b_men_nz_army_68_12;vn_b_men_nz_army_70_12;vn_b_men_nz_sas_66_02;vn_b_men_nz_sas_70_02;vn_b_men_rok_army_65_04;vn_b_men_rok_army_65_12;vn_b_men_rok_army_68_02;vn_b_men_rok_army_68_04;vn_b_men_rok_army_68_12;vn_b_men_rok_marine_65_04;vn_b_men_rok_marine_65_12;vn_b_men_rok_marine_68_04;vn_b_men_rok_marine_68_12;vn_b_men_seal_03;vn_b_men_seal_22;vn_b_men_seal_25;vn_b_men_sf_03;vn_b_men_sf_08;vn_b_men_sog_02;vn_b_men_sog_04;vn_b_men_sog_08;vn_b_men_sog_14;vn_b_men_usmc_68_12;vn_b_men_usmc_70_12;vn_b_men_usmc_70_20;vn_b_men_usmc_recon_66_03;vn_b_men_usmc_recon_68_03;vn_b_men_usmc_recon_70_03;vn_i_men_army_04;vn_i_men_army_12;vn_i_men_fank_71_12;vn_i_men_marine_04;vn_i_men_marine_12;vn_i_men_ranger_04;vn_i_men_ranger_12;vn_i_men_sf_04;vn_i_men_sf_12
vn_m79,M79 40mm GL,WEST+EAST+INDEPENDENT,39,vn_b_men_army_07;vn_b_men_army_17;vn_b_men_aus_army_66_07;vn_b_men_aus_army_68_07;vn_b_men_aus_army_70_07;vn_b_men_cidg_11;vn_b_men_lrrp_09;vn_b_men_navy_07;vn_b_men_nz_army_66_07;vn_b_men_nz_army_68_07;vn_b_men_nz_army_70_07;vn_b_men_rok_army_65_17;vn_b_men_rok_army_68_07;vn_b_men_rok_army_68_17;vn_b_men_rok_marine_65_17;vn_b_men_rok_marine_68_07;vn_b_men_rok_marine_68_17;vn_b_men_seal_12;vn_b_men_seal_51;vn_b_men_sf_11;vn_b_men_sf_17;vn_b_men_usmc_66_07;vn_b_men_usmc_68_07;vn_b_men_usmc_70_07;vn_b_men_usmc_recon_66_09;vn_b_men_usmc_recon_68_09;vn_b_men_usmc_recon_70_09;vn_i_men_army_07;vn_i_men_army_17;vn_i_men_fank_71_07;vn_i_men_fank_71_08;vn_i_men_fank_71_17;vn_i_men_marine_07;vn_i_men_marine_17;vn_i_men_ranger_07;vn_i_men_ranger_17;vn_i_men_sf_07;vn_o_men_kr_70_07;vn_o_men_nva_dc_07
vn_m9130,M91/30 Rifle,NONE,0,
vn_mat49,MAT-49,WEST+INDEPENDENT,9,vn_b_men_cidg_20;vn_b_men_sf_20;vn_b_men_sog_20;vn_i_men_fank_70_05;vn_i_men_fank_70_13;vn_i_men_fank_71_05;vn_i_men_fank_71_13;vn_i_men_fank_71_23;vn_i_men_fank_71_25
vn_mat49_f,MAT-49 (Folded),INDEPENDENT,1,vn_i_men_rla_18
vn_mat49_sd,MAT-49 (S),NONE,0,
vn_mc10,MC-10,NONE,0,
vn_mc10_sd,MC-10 (S),NONE,0,
vn_mx991_m1911,M1911 (Flashlight),WEST+INDEPENDENT,12,vn_b_men_army_26;vn_b_men_rok_army_65_26;vn_b_men_rok_army_68_26;vn_b_men_usmc_recon_66_09;vn_b_men_usmc_recon_68_09;vn_b_men_usmc_recon_70_09;vn_i_men_army_09;vn_i_men_fank_71_09;vn_i_men_marine_09;vn_i_men_ranger_09;vn_i_men_rla_09;vn_i_men_sf_09
vn_p38s,.38 Revolver,WEST+INDEPENDENT,70,vn_b_men_army_02;vn_b_men_army_05;vn_b_men_army_14;vn_b_men_army_17;vn_b_men_army_23;vn_b_men_cidg_11;vn_b_men_cidg_17;vn_b_men_jetpilot_09;vn_b_men_jetpilot_10;vn_b_men_navy_02;vn_b_men_navy_05;vn_b_men_rok_army_65_05;vn_b_men_rok_army_65_14;vn_b_men_rok_army_65_17;vn_b_men_rok_army_65_19;vn_b_men_rok_army_68_02;vn_b_men_rok_army_68_05;vn_b_men_rok_army_68_14;vn_b_men_rok_army_68_17;vn_b_men_rok_army_68_23;vn_b_men_rok_marine_65_02;vn_b_men_rok_marine_65_05;vn_b_men_rok_marine_65_14;vn_b_men_rok_marine_65_17;vn_b_men_rok_marine_68_05;vn_b_men_rok_marine_68_14;vn_b_men_rok_marine_68_17;vn_b_men_seal_08;vn_b_men_seal_14;vn_b_men_seal_27;vn_b_men_seal_41;vn_b_men_seal_47;vn_b_men_seal_51;vn_b_men_sf_11;vn_b_men_sf_17;vn_b_men_usmc_66_05;vn_b_men_usmc_66_14;vn_b_men_usmc_66_17;vn_b_men_usmc_66_23;vn_b_men_usmc_68_05;vn_b_men_usmc_68_14;vn_b_men_usmc_68_17;vn_b_men_usmc_68_23;vn_b_men_usmc_70_05;vn_b_men_usmc_70_14;vn_b_men_usmc_70_17;vn_b_men_usmc_70_23;vn_i_men_army_02;vn_i_men_army_05;vn_i_men_army_14;vn_i_men_army_17;vn_i_men_army_23;vn_i_men_fank_71_01;vn_i_men_fank_71_05;vn_i_men_fank_71_14;vn_i_men_fank_71_17;vn_i_men_fank_71_23;vn_i_men_marine_05;vn_i_men_marine_14;vn_i_men_marine_17;vn_i_men_ranger_02;vn_i_men_ranger_05;vn_i_men_ranger_14;vn_i_men_ranger_17;vn_i_men_rla_02;vn_i_men_rla_05;vn_i_men_rla_14;vn_i_men_rla_17;vn_i_men_sf_02;vn_i_men_sf_05
vn_pk,PK,NONE,0,
